model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,-1
meta-llama/Llama-2-13b-hf,5.454364282720618,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,0
meta-llama/Llama-2-13b-hf,5.441167111115329,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,1
meta-llama/Llama-2-13b-hf,5.437259402808405,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2
meta-llama/Llama-2-13b-hf,5.437523539244869,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,3
meta-llama/Llama-2-13b-hf,5.43760427356748,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,4
meta-llama/Llama-2-13b-hf,5.437596430196535,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,5
meta-llama/Llama-2-13b-hf,5.437596430196535,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,6
meta-llama/Llama-2-13b-hf,5.437596430196535,vlp,VLPSoftmax,torch,max,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,7
meta-llama/Llama-2-13b-hf,5.5050603569938446,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,7
meta-llama/Llama-2-13b-hf,5.437562010247887,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,-6
meta-llama/Llama-2-13b-hf,5.437551250007324,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,-5
meta-llama/Llama-2-13b-hf,5.437535693070664,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,-4
meta-llama/Llama-2-13b-hf,5.437546582921653,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,-3
meta-llama/Llama-2-13b-hf,5.43764316648311,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,-2
meta-llama/Llama-2-13b-hf,5.437901098374921,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,-1
meta-llama/Llama-2-13b-hf,5.438917128059159,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,0
meta-llama/Llama-2-13b-hf,2250.312098136147,vlp,VLPSoftmax,torch,min,19,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,1
