model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,-1
meta-llama/Llama-2-13b-hf,6.039730946052842,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,0
meta-llama/Llama-2-13b-hf,5.7443810383154466,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,1
meta-llama/Llama-2-13b-hf,5.701165022734091,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,2
meta-llama/Llama-2-13b-hf,5.830263502176878,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,3
meta-llama/Llama-2-13b-hf,5.830325428927642,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,4
meta-llama/Llama-2-13b-hf,5.830325428927642,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,5
meta-llama/Llama-2-13b-hf,5.830325428927642,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,6
meta-llama/Llama-2-13b-hf,5.830325428927642,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,0,7
meta-llama/Llama-2-13b-hf,6.4379257481681815,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,7
meta-llama/Llama-2-13b-hf,5.830377000303979,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,-6
meta-llama/Llama-2-13b-hf,5.830270765156808,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,-5
meta-llama/Llama-2-13b-hf,5.8304389630124005,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,-4
meta-llama/Llama-2-13b-hf,5.830356010281743,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,-3
meta-llama/Llama-2-13b-hf,5.831025365093182,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,-2
meta-llama/Llama-2-13b-hf,5.848450290094848,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,-1
meta-llama/Llama-2-13b-hf,5.9398318704320525,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,0
meta-llama/Llama-2-13b-hf,502.8435548451939,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,0,1
