model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,-1
meta-llama/Llama-2-13b-hf,5.5328163159700505,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,0
meta-llama/Llama-2-13b-hf,5.458780058375744,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,1
meta-llama/Llama-2-13b-hf,5.4380347364095165,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2
meta-llama/Llama-2-13b-hf,5.446723159942559,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,3
meta-llama/Llama-2-13b-hf,5.4466045341246865,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,4
meta-llama/Llama-2-13b-hf,5.446598268519771,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,5
meta-llama/Llama-2-13b-hf,5.446598268519771,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,6
meta-llama/Llama-2-13b-hf,5.446598268519771,vlp,VLPSoftmax,torch,max,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,7
meta-llama/Llama-2-13b-hf,5.534724860059609,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,7
meta-llama/Llama-2-13b-hf,5.446627616285812,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,-6
meta-llama/Llama-2-13b-hf,5.446578595216467,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,-5
meta-llama/Llama-2-13b-hf,5.446608689555757,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,-4
meta-llama/Llama-2-13b-hf,5.446581939023731,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,-3
meta-llama/Llama-2-13b-hf,5.446736243353238,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,-2
meta-llama/Llama-2-13b-hf,5.447264378378664,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,-1
meta-llama/Llama-2-13b-hf,5.448277188954769,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,0
meta-llama/Llama-2-13b-hf,6.903367893145204,vlp,VLPSoftmax,torch,min,9,8,16,32,16,1,-1,0,1,1,2,-3,3,1,1
