model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,6.027263561614917,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,0
meta-llama/Llama-2-7b-hf,5.995003432765,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2
meta-llama/Llama-2-7b-hf,5.986783763904074,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,3
meta-llama/Llama-2-7b-hf,5.986835434576369,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,4
meta-llama/Llama-2-7b-hf,5.986914297442851,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,5
meta-llama/Llama-2-7b-hf,5.986914297442851,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,6
meta-llama/Llama-2-7b-hf,5.986914297442851,vlp,VLPSoftmax,torch,max,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,7
meta-llama/Llama-2-7b-hf,5.98765251851851,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-7
meta-llama/Llama-2-7b-hf,5.9873303965533236,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-6
meta-llama/Llama-2-7b-hf,5.986915653465026,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-5
meta-llama/Llama-2-7b-hf,5.986850350640685,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-4
meta-llama/Llama-2-7b-hf,5.9869245746711925,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-3
meta-llama/Llama-2-7b-hf,5.98731555066735,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-2
meta-llama/Llama-2-7b-hf,5.988553666996307,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,5.992545791775277,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,0
meta-llama/Llama-2-7b-hf,7.127747160841538,vlp,VLPSoftmax,torch,min,12,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,1
