model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-1
meta-llama/Llama-2-7b-hf,6.071882360952231,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,0
meta-llama/Llama-2-7b-hf,6.003403137568697,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2
meta-llama/Llama-2-7b-hf,5.986912441834059,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,3
meta-llama/Llama-2-7b-hf,5.986954764131473,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,4
meta-llama/Llama-2-7b-hf,5.98695590605258,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,5
meta-llama/Llama-2-7b-hf,5.98695590605258,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,6
meta-llama/Llama-2-7b-hf,5.98695590605258,vlp,VLPSoftmax,torch,max,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,7
meta-llama/Llama-2-7b-hf,5.987672147605261,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-7
meta-llama/Llama-2-7b-hf,5.987213914436655,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-6
meta-llama/Llama-2-7b-hf,5.986828654559419,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-5
meta-llama/Llama-2-7b-hf,5.986941346574777,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-4
meta-llama/Llama-2-7b-hf,5.987088584494027,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-3
meta-llama/Llama-2-7b-hf,5.987877792924337,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-2
meta-llama/Llama-2-7b-hf,5.990306240803539,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,-1
meta-llama/Llama-2-7b-hf,5.99716209481609,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,0
meta-llama/Llama-2-7b-hf,7.094141038399849,vlp,VLPSoftmax,torch,min,11,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,1
