model,modality,value,function_name,patch_attention,patch_ffn,attn_fn,ffn_fn,attn_exp_dim,attn_max_exp,attn_min_exp,attn_window_size,attn_lut_build
meta-llama/Llama-2-70b-hf,nlp,9.115064811554495,vlp,True,False,VLPSoftmax,CustomSilu,8,0,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.667997663184029,vlp,True,False,VLPSoftmax,CustomSilu,8,1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.9363977309983955,vlp,True,False,VLPSoftmax,CustomSilu,8,2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.356057139392761,vlp,True,False,VLPSoftmax,CustomSilu,8,3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.2714438445377265,vlp,True,False,VLPSoftmax,CustomSilu,8,4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,9.114451212663134,vlp,True,False,VLPSoftmax,CustomSilu,9,0,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.66786779980667,vlp,True,False,VLPSoftmax,CustomSilu,9,1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.901228756985955,vlp,True,False,VLPSoftmax,CustomSilu,9,2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.267221367795869,vlp,True,False,VLPSoftmax,CustomSilu,9,3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.3252482009805595,vlp,True,False,VLPSoftmax,CustomSilu,9,4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,9.114451212663134,vlp,True,False,VLPSoftmax,CustomSilu,10,0,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.667843089176413,vlp,True,False,VLPSoftmax,CustomSilu,10,1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.919590500670126,vlp,True,False,VLPSoftmax,CustomSilu,10,2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.293188178925386,vlp,True,False,VLPSoftmax,CustomSilu,10,3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.264377882877273,vlp,True,False,VLPSoftmax,CustomSilu,10,4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,9.114451212663134,vlp,True,False,VLPSoftmax,CustomSilu,11,0,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.667848920778765,vlp,True,False,VLPSoftmax,CustomSilu,11,1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.919598558649334,vlp,True,False,VLPSoftmax,CustomSilu,11,2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.287767680432915,vlp,True,False,VLPSoftmax,CustomSilu,11,3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.347535664318432,vlp,True,False,VLPSoftmax,CustomSilu,11,4,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,9.114451212663134,vlp,True,False,VLPSoftmax,CustomSilu,12,0,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.667848920778765,vlp,True,False,VLPSoftmax,CustomSilu,12,1,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,4.919597583656606,vlp,True,False,VLPSoftmax,CustomSilu,12,2,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.287750144096382,vlp,True,False,VLPSoftmax,CustomSilu,12,3,-4,256,max
meta-llama/Llama-2-70b-hf,nlp,5.276533417342693,vlp,True,False,VLPSoftmax,CustomSilu,12,4,-4,256,max
