model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-1
meta-llama/Llama-2-7b-hf,5.995686400856527,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,0
meta-llama/Llama-2-7b-hf,5.987064817779197,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,1
meta-llama/Llama-2-7b-hf,5.984871477705391,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2
meta-llama/Llama-2-7b-hf,5.984947318162948,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,3
meta-llama/Llama-2-7b-hf,5.984895735131965,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,4
meta-llama/Llama-2-7b-hf,5.984882607571259,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,5
meta-llama/Llama-2-7b-hf,5.984882607571259,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,6
meta-llama/Llama-2-7b-hf,5.984882607571259,vlp,VLPSoftmax,torch,max,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,7
meta-llama/Llama-2-7b-hf,5.985324893801986,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-7
meta-llama/Llama-2-7b-hf,5.985037286311335,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-6
meta-llama/Llama-2-7b-hf,5.984977568999273,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-5
meta-llama/Llama-2-7b-hf,5.984927983392467,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-4
meta-llama/Llama-2-7b-hf,5.9849273412793895,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-3
meta-llama/Llama-2-7b-hf,5.984999044332014,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-2
meta-llama/Llama-2-7b-hf,5.985256468936223,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,-1
meta-llama/Llama-2-7b-hf,5.986763709522941,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,0
meta-llama/Llama-2-7b-hf,6.663457941836318,vlp,VLPSoftmax,torch,min,26,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,1
