model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-1
meta-llama/Llama-2-13b-hf,5.4405022981254625,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,0
meta-llama/Llama-2-13b-hf,5.436524198802586,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,1
meta-llama/Llama-2-13b-hf,5.435349705502793,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,2
meta-llama/Llama-2-13b-hf,5.435368981876236,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,3
meta-llama/Llama-2-13b-hf,5.435353042416328,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,4
meta-llama/Llama-2-13b-hf,5.435353042416328,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,5
meta-llama/Llama-2-13b-hf,5.435353042416328,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,6
meta-llama/Llama-2-13b-hf,5.435353042416328,vlp,VLPSoftmax,torch,max,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,7
meta-llama/Llama-2-13b-hf,5.4645603622833,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,7
meta-llama/Llama-2-13b-hf,5.435336422663397,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-6
meta-llama/Llama-2-13b-hf,5.43534591503068,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-5
meta-llama/Llama-2-13b-hf,5.435304900347635,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-4
meta-llama/Llama-2-13b-hf,5.4353754289474825,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-3
meta-llama/Llama-2-13b-hf,5.435362275634359,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-2
meta-llama/Llama-2-13b-hf,5.43538297753811,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,-1
meta-llama/Llama-2-13b-hf,5.435911307732375,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,0
meta-llama/Llama-2-13b-hf,328.9910573459124,vlp,VLPSoftmax,torch,min,27,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5,-2,-3,1
