model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-1
meta-llama/Llama-2-7b-hf,6.001751689756902,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,0
meta-llama/Llama-2-7b-hf,5.989265530246294,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,1
meta-llama/Llama-2-7b-hf,5.985664032967588,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,2
meta-llama/Llama-2-7b-hf,5.985419077378341,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3
meta-llama/Llama-2-7b-hf,5.9855079109732605,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,4
meta-llama/Llama-2-7b-hf,5.9855079109732605,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,5
meta-llama/Llama-2-7b-hf,5.9855079109732605,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,6
meta-llama/Llama-2-7b-hf,5.9855079109732605,vlp,VLPSoftmax,torch,max,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,7
meta-llama/Llama-2-7b-hf,5.987343172609666,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-7
meta-llama/Llama-2-7b-hf,5.985973862987853,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-6
meta-llama/Llama-2-7b-hf,5.985524821614201,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-5
meta-llama/Llama-2-7b-hf,5.985539092234444,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-4
meta-llama/Llama-2-7b-hf,5.9855335980416235,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-3
meta-llama/Llama-2-7b-hf,5.985735673490694,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-2
meta-llama/Llama-2-7b-hf,5.986489734866092,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,-1
meta-llama/Llama-2-7b-hf,5.989507573031072,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,0
meta-llama/Llama-2-7b-hf,42.23182870424876,vlp,VLPSoftmax,torch,min,18,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,1
