model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp
meta-llama/Llama-2-70b-hf,4.832887314091794,vlp,VLPSoftmax,torch,max,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,1
meta-llama/Llama-2-70b-hf,4.829358687512225,vlp,VLPSoftmax,torch,max,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2
meta-llama/Llama-2-70b-hf,4.832737901246941,vlp,VLPSoftmax,torch,max,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,3
meta-llama/Llama-2-70b-hf,4.831917165020544,vlp,VLPSoftmax,torch,max,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,4
meta-llama/Llama-2-70b-hf,4.831917165020544,vlp,VLPSoftmax,torch,max,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,5
meta-llama/Llama-2-70b-hf,4.830833994184111,vlp,VLPSoftmax,torch,min,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,-5
meta-llama/Llama-2-70b-hf,4.830121697182948,vlp,VLPSoftmax,torch,min,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,-4
meta-llama/Llama-2-70b-hf,4.831058661826364,vlp,VLPSoftmax,torch,min,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,-3
meta-llama/Llama-2-70b-hf,4.8315881913240375,vlp,VLPSoftmax,torch,min,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,-2
meta-llama/Llama-2-70b-hf,4.831674852576866,vlp,VLPSoftmax,torch,min,21.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,-1
,4.829358687512225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
