model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp
meta-llama/Llama-2-70b-hf,4.813973360985773,vlp,VLPSoftmax,torch,max,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,1
meta-llama/Llama-2-70b-hf,4.815761146919261,vlp,VLPSoftmax,torch,max,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,2
meta-llama/Llama-2-70b-hf,4.813991150999317,vlp,VLPSoftmax,torch,max,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,3
meta-llama/Llama-2-70b-hf,4.8136980947292844,vlp,VLPSoftmax,torch,max,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,4
meta-llama/Llama-2-70b-hf,4.8136980947292844,vlp,VLPSoftmax,torch,max,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,5
meta-llama/Llama-2-70b-hf,4.8143143610825225,vlp,VLPSoftmax,torch,min,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,-5
meta-llama/Llama-2-70b-hf,4.814200214408461,vlp,VLPSoftmax,torch,min,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,-4
meta-llama/Llama-2-70b-hf,4.813988740735567,vlp,VLPSoftmax,torch,min,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,-3
meta-llama/Llama-2-70b-hf,4.813996183863466,vlp,VLPSoftmax,torch,min,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,-2
meta-llama/Llama-2-70b-hf,4.814028696751755,vlp,VLPSoftmax,torch,min,28.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,-5.0,3.0,3.0,-1
,4.8136980947292844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
