model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_24_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-1
meta-llama/Llama-2-7b-hf,5.995304526625999,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,0
meta-llama/Llama-2-7b-hf,5.986558173830841,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,1
meta-llama/Llama-2-7b-hf,5.985099644092727,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,2
meta-llama/Llama-2-7b-hf,5.985018522026023,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,3
meta-llama/Llama-2-7b-hf,5.985036358797751,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,4
meta-llama/Llama-2-7b-hf,5.98502251745827,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,5
meta-llama/Llama-2-7b-hf,5.98502251745827,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,6
meta-llama/Llama-2-7b-hf,5.98502251745827,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,7
meta-llama/Llama-2-7b-hf,5.985583902203158,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-7
meta-llama/Llama-2-7b-hf,5.985125186712489,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-6
meta-llama/Llama-2-7b-hf,5.984988485022566,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-5
meta-llama/Llama-2-7b-hf,5.985032648744854,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-4
meta-llama/Llama-2-7b-hf,5.985043350826771,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-3
meta-llama/Llama-2-7b-hf,5.985150872138373,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-2
meta-llama/Llama-2-7b-hf,5.985716122107485,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,-1
meta-llama/Llama-2-7b-hf,5.98745159174933,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,0
meta-llama/Llama-2-7b-hf,8.943256968750722,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,-4,1
