model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,-1
meta-llama/Llama-2-7b-hf,6.220392062000568,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,0
meta-llama/Llama-2-7b-hf,6.096470177397242,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,1
meta-llama/Llama-2-7b-hf,6.075816681758523,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,2
meta-llama/Llama-2-7b-hf,6.076600925254278,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,3
meta-llama/Llama-2-7b-hf,6.076641780834167,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,4
meta-llama/Llama-2-7b-hf,6.076641780834167,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,5
meta-llama/Llama-2-7b-hf,6.076641780834167,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,6
meta-llama/Llama-2-7b-hf,6.076641780834167,vlp,VLPSoftmax,torch,max,4,8,16,32,16,1,-1,1,-6,7
meta-llama/Llama-2-7b-hf,6.077963288229621,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,-7
meta-llama/Llama-2-7b-hf,6.0761742761254425,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,-6
meta-llama/Llama-2-7b-hf,6.076581004636752,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,-5
meta-llama/Llama-2-7b-hf,6.076747253246475,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,-4
meta-llama/Llama-2-7b-hf,6.076811870491303,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,-3
meta-llama/Llama-2-7b-hf,6.077372736472645,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,-2
meta-llama/Llama-2-7b-hf,6.079680496155194,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,-1
meta-llama/Llama-2-7b-hf,6.088018710068404,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,0
meta-llama/Llama-2-7b-hf,19.681773559742695,vlp,VLPSoftmax,torch,min,4,8,16,32,16,1,-1,1,-6,1
