model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.466396553045633,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,0
meta-llama/Llama-2-13b-hf,5.445535070543058,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,1
meta-llama/Llama-2-13b-hf,5.43798961740437,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,2
meta-llama/Llama-2-13b-hf,5.437569464643894,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,3
meta-llama/Llama-2-13b-hf,5.437573678002679,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,4
meta-llama/Llama-2-13b-hf,5.437583077045581,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,5
meta-llama/Llama-2-13b-hf,5.437583077045581,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,6
meta-llama/Llama-2-13b-hf,5.437583077045581,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,7
meta-llama/Llama-2-13b-hf,5.547981256337439,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,7
meta-llama/Llama-2-13b-hf,5.437557213511512,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-6
meta-llama/Llama-2-13b-hf,5.43750649152433,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5
meta-llama/Llama-2-13b-hf,5.437546712562868,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-4
meta-llama/Llama-2-13b-hf,5.437608778649295,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-3
meta-llama/Llama-2-13b-hf,5.43757983599447,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-2
meta-llama/Llama-2-13b-hf,5.437773330130788,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.438725343758187,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,0
meta-llama/Llama-2-13b-hf,423.8374863274728,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,1
