model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,-1
meta-llama/Llama-2-13b-hf,5.457187806337679,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,0
meta-llama/Llama-2-13b-hf,5.440763997739364,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,1
meta-llama/Llama-2-13b-hf,5.437006848520253,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2
meta-llama/Llama-2-13b-hf,5.437365088252475,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,3
meta-llama/Llama-2-13b-hf,5.437252532191343,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,4
meta-llama/Llama-2-13b-hf,5.437252532191343,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,5
meta-llama/Llama-2-13b-hf,5.437252532191343,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,6
meta-llama/Llama-2-13b-hf,5.437252532191343,vlp,VLPSoftmax,torch,max,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,7
meta-llama/Llama-2-13b-hf,5.522272244952309,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,7
meta-llama/Llama-2-13b-hf,5.43735614331471,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,-6
meta-llama/Llama-2-13b-hf,5.437320558164534,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,-5
meta-llama/Llama-2-13b-hf,5.437294144929516,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,-4
meta-llama/Llama-2-13b-hf,5.437308664090676,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,-3
meta-llama/Llama-2-13b-hf,5.4373074325531805,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,-2
meta-llama/Llama-2-13b-hf,5.437442579253166,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,-1
meta-llama/Llama-2-13b-hf,5.438434146685682,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,0
meta-llama/Llama-2-13b-hf,1262.255247714961,vlp,VLPSoftmax,torch,min,21,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,1
