model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-1
meta-llama/Llama-2-7b-hf,6.028504045825604,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,0
meta-llama/Llama-2-7b-hf,5.988083873607378,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2
meta-llama/Llama-2-7b-hf,5.989537632714582,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,3
meta-llama/Llama-2-7b-hf,5.989691860541798,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,4
meta-llama/Llama-2-7b-hf,5.989691860541798,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,5
meta-llama/Llama-2-7b-hf,5.989691860541798,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,6
meta-llama/Llama-2-7b-hf,5.989691860541798,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,7
meta-llama/Llama-2-7b-hf,5.990909257320586,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-7
meta-llama/Llama-2-7b-hf,5.9903683678388555,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-6
meta-llama/Llama-2-7b-hf,5.989445883321729,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-5
meta-llama/Llama-2-7b-hf,5.989551198891939,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-4
meta-llama/Llama-2-7b-hf,5.990007111719051,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-3
meta-llama/Llama-2-7b-hf,5.992053541607193,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-2
meta-llama/Llama-2-7b-hf,5.997538939634277,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,-1
meta-llama/Llama-2-7b-hf,6.0088095298883415,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,0
meta-llama/Llama-2-7b-hf,8.713844391192113,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,1
