model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-1
meta-llama/Llama-2-7b-hf,5.995922413150215,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,0
meta-llama/Llama-2-7b-hf,5.987695060184283,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,1
meta-llama/Llama-2-7b-hf,5.985072175195918,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,2
meta-llama/Llama-2-7b-hf,5.9850322206619735,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,3
meta-llama/Llama-2-7b-hf,5.985051912506085,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,4
meta-llama/Llama-2-7b-hf,5.985055194486402,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,5
meta-llama/Llama-2-7b-hf,5.985055194486402,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,6
meta-llama/Llama-2-7b-hf,5.985055194486402,vlp,VLPSoftmax,torch,max,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,7
meta-llama/Llama-2-7b-hf,5.986635962551023,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-7
meta-llama/Llama-2-7b-hf,5.9853099815383,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-6
meta-llama/Llama-2-7b-hf,5.985018522026023,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-5
meta-llama/Llama-2-7b-hf,5.985008105375921,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4
meta-llama/Llama-2-7b-hf,5.985038927297258,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-3
meta-llama/Llama-2-7b-hf,5.985122475479521,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-2
meta-llama/Llama-2-7b-hf,5.985349795224645,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-1
meta-llama/Llama-2-7b-hf,5.987112636790973,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,0
meta-llama/Llama-2-7b-hf,27.049274491240073,vlp,VLPSoftmax,torch,min,23,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,1
