model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp
meta-llama/Llama-2-70b-hf,4.848667165148003,vlp,VLPSoftmax,torch,max,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,1
meta-llama/Llama-2-70b-hf,4.84831580214993,vlp,VLPSoftmax,torch,max,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,2
meta-llama/Llama-2-70b-hf,4.848322757955057,vlp,VLPSoftmax,torch,max,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,3
meta-llama/Llama-2-70b-hf,4.848156780775431,vlp,VLPSoftmax,torch,max,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,4
meta-llama/Llama-2-70b-hf,4.848061958213186,vlp,VLPSoftmax,torch,max,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,5
meta-llama/Llama-2-70b-hf,4.845660488904207,vlp,VLPSoftmax,torch,min,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5
meta-llama/Llama-2-70b-hf,4.852182866908865,vlp,VLPSoftmax,torch,min,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-4
meta-llama/Llama-2-70b-hf,4.846418967977049,vlp,VLPSoftmax,torch,min,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-3
meta-llama/Llama-2-70b-hf,4.845725263866952,vlp,VLPSoftmax,torch,min,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-2
meta-llama/Llama-2-70b-hf,4.846627154617745,vlp,VLPSoftmax,torch,min,15.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-1
,4.845660488904207,,,,,,,,,,,,,,,,,,,,,,,,,-5
