model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp
meta-llama/Llama-2-70b-hf,4.868740661010173,vlp,VLPSoftmax,torch,max,7,8,16,32,16,-4,2,2,2,-4,3,2,1
meta-llama/Llama-2-70b-hf,4.861656436278694,vlp,VLPSoftmax,torch,max,7,8,16,32,16,-4,2,2,2,-4,3,2,2
meta-llama/Llama-2-70b-hf,4.8613432579529245,vlp,VLPSoftmax,torch,max,7,8,16,32,16,-4,2,2,2,-4,3,2,3
meta-llama/Llama-2-70b-hf,4.863057079557311,vlp,VLPSoftmax,torch,max,7,8,16,32,16,-4,2,2,2,-4,3,2,4
meta-llama/Llama-2-70b-hf,4.863070691439048,vlp,VLPSoftmax,torch,max,7,8,16,32,16,-4,2,2,2,-4,3,2,5
meta-llama/Llama-2-70b-hf,4.8628389323213135,vlp,VLPSoftmax,torch,min,7,8,16,32,16,-4,2,2,2,-4,3,2,-5
meta-llama/Llama-2-70b-hf,4.8615172785151906,vlp,VLPSoftmax,torch,min,7,8,16,32,16,-4,2,2,2,-4,3,2,-4
meta-llama/Llama-2-70b-hf,4.865307195052357,vlp,VLPSoftmax,torch,min,7,8,16,32,16,-4,2,2,2,-4,3,2,-3
meta-llama/Llama-2-70b-hf,4.863597149181347,vlp,VLPSoftmax,torch,min,7,8,16,32,16,-4,2,2,2,-4,3,2,-2
meta-llama/Llama-2-70b-hf,4.863550453444228,vlp,VLPSoftmax,torch,min,7,8,16,32,16,-4,2,2,2,-4,3,2,-1
