model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp
meta-llama/Llama-2-70b-hf,4.832610332621369,vlp,VLPSoftmax,torch,max,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,1
meta-llama/Llama-2-70b-hf,4.829358687512225,vlp,VLPSoftmax,torch,max,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,2
meta-llama/Llama-2-70b-hf,4.839481117593088,vlp,VLPSoftmax,torch,max,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,3
meta-llama/Llama-2-70b-hf,4.840730426937813,vlp,VLPSoftmax,torch,max,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,4
meta-llama/Llama-2-70b-hf,4.840730426937813,vlp,VLPSoftmax,torch,max,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,5
meta-llama/Llama-2-70b-hf,4.840142605802585,vlp,VLPSoftmax,torch,min,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,-5
meta-llama/Llama-2-70b-hf,4.837099401368304,vlp,VLPSoftmax,torch,min,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,-4
meta-llama/Llama-2-70b-hf,4.839622312876823,vlp,VLPSoftmax,torch,min,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,-3
meta-llama/Llama-2-70b-hf,4.839806512164751,vlp,VLPSoftmax,torch,min,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,-2
meta-llama/Llama-2-70b-hf,4.84042808288947,vlp,VLPSoftmax,torch,min,23.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2.0,-5.0,4.0,-3.0,1.0,1.0,2.0,2.0,2.0,-1
,4.829358687512225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
