model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-1
meta-llama/Llama-2-13b-hf,5.46333051002036,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,0
meta-llama/Llama-2-13b-hf,5.445859529560545,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,1
meta-llama/Llama-2-13b-hf,5.437259402808405,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,2
meta-llama/Llama-2-13b-hf,5.437007593883286,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,3
meta-llama/Llama-2-13b-hf,5.437055783440607,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,4
meta-llama/Llama-2-13b-hf,5.437055783440607,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,5
meta-llama/Llama-2-13b-hf,5.437055783440607,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,6
meta-llama/Llama-2-13b-hf,5.437055783440607,vlp,VLPSoftmax,torch,max,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,7
meta-llama/Llama-2-13b-hf,5.525757758929743,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,7
meta-llama/Llama-2-13b-hf,5.437050792706706,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-6
meta-llama/Llama-2-13b-hf,5.437006848520253,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5
meta-llama/Llama-2-13b-hf,5.437012228099221,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-4
meta-llama/Llama-2-13b-hf,5.437034556649545,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-3
meta-llama/Llama-2-13b-hf,5.437021366914247,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-2
meta-llama/Llama-2-13b-hf,5.437215424527562,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-1
meta-llama/Llama-2-13b-hf,5.4381448127945005,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,0
meta-llama/Llama-2-13b-hf,1533.6340707521097,vlp,VLPSoftmax,torch,min,20,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,1
