model,value,function_name,attn_fn,ffn_fn,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,8,16,32,max,16,-3
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,8,16,32,max,16,-2
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,8,16,32,max,16,-1
meta-llama/Llama-2-13b-hf,455.8790792368889,vlp,VLPSoftmax,torch,8,16,32,max,16,0
meta-llama/Llama-2-13b-hf,6.634486169397959,vlp,VLPSoftmax,torch,8,16,32,max,16,1
meta-llama/Llama-2-13b-hf,5.961732371515451,vlp,VLPSoftmax,torch,8,16,32,max,16,2
meta-llama/Llama-2-13b-hf,6.407398245303687,vlp,VLPSoftmax,torch,8,16,32,max,16,3
meta-llama/Llama-2-13b-hf,6.451644119121284,vlp,VLPSoftmax,torch,8,16,32,min,16,-6
meta-llama/Llama-2-13b-hf,6.4093551489544245,vlp,VLPSoftmax,torch,8,16,32,min,16,-5
meta-llama/Llama-2-13b-hf,6.406781412839712,vlp,VLPSoftmax,torch,8,16,32,min,16,-4
meta-llama/Llama-2-13b-hf,6.408066050954569,vlp,VLPSoftmax,torch,8,16,32,min,16,-3
meta-llama/Llama-2-13b-hf,6.418240572670608,vlp,VLPSoftmax,torch,8,16,32,min,16,-2
meta-llama/Llama-2-13b-hf,6.486925839966381,vlp,VLPSoftmax,torch,8,16,32,min,16,-1
meta-llama/Llama-2-13b-hf,6.861433627689938,vlp,VLPSoftmax,torch,8,16,32,min,16,0
