model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp,attn_layer_30_max_min_exp,attn_layer_31_max_min_exp
meta-llama/Llama-2-7b-hf,8.466215553932257,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.475804709444398,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.093247866957449,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.076257937557748,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.077155469018473,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.0785237532507495,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.082843422033887,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.095465302193692,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,6.131452554529514,vlp,VLPSoftmax,torch,3,8,8,32,max,16,1,6,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meta-llama/Llama-2-7b-hf,8.156601217263878,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,7,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,6.214157154310237,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,-6,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.993424313421061,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,-5,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.9816957456498185,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,-4,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.982091443333436,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,-3,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.983326981506487,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,-2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.987456302566195,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,-1,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,5.999754516634238,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
meta-llama/Llama-2-7b-hf,6.030929630522854,vlp,VLPSoftmax,torch,3,8,16,32,,16,-5,6,1,1,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0
