model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,-1
meta-llama/Llama-2-7b-hf,8.464463371823268,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,0
meta-llama/Llama-2-7b-hf,6.475204525857727,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,1
meta-llama/Llama-2-7b-hf,6.093067438886322,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,2
meta-llama/Llama-2-7b-hf,6.075911130402845,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,3
meta-llama/Llama-2-7b-hf,6.076007391306412,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,4
meta-llama/Llama-2-7b-hf,6.076007391306412,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,5
meta-llama/Llama-2-7b-hf,6.076007391306412,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,6
meta-llama/Llama-2-7b-hf,6.076007391306412,vlp,VLPSoftmax,torch,max,3,8,16,32,16,1,-1,1,7
meta-llama/Llama-2-7b-hf,6.078460711942319,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,-7
meta-llama/Llama-2-7b-hf,6.075816681758523,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,-6
meta-llama/Llama-2-7b-hf,6.076057079623156,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,-5
meta-llama/Llama-2-7b-hf,6.076064105554961,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,-4
meta-llama/Llama-2-7b-hf,6.076641635955739,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,-3
meta-llama/Llama-2-7b-hf,6.078503319099848,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,-2
meta-llama/Llama-2-7b-hf,6.082615009917979,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,-1
meta-llama/Llama-2-7b-hf,6.095419669618166,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,0
meta-llama/Llama-2-7b-hf,23.36567081899954,vlp,VLPSoftmax,torch,min,3,8,16,32,16,1,-1,1,1
