model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,-1
meta-llama/Llama-2-7b-hf,6.058166340973736,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,0
meta-llama/Llama-2-7b-hf,6.029233235950542,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,1
meta-llama/Llama-2-7b-hf,6.075816681758523,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,2
meta-llama/Llama-2-7b-hf,6.109311359635879,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,3
meta-llama/Llama-2-7b-hf,6.109755703489588,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,4
meta-llama/Llama-2-7b-hf,6.1097045014276725,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,5
meta-llama/Llama-2-7b-hf,6.1097045014276725,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,6
meta-llama/Llama-2-7b-hf,6.1097045014276725,vlp,VLPSoftmax,torch,max,6,8,16,32,16,1,-1,1,-6,2,2,7
meta-llama/Llama-2-7b-hf,6.123758760323265,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,-7
meta-llama/Llama-2-7b-hf,6.115567119831649,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,-6
meta-llama/Llama-2-7b-hf,6.10940377991295,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,-5
meta-llama/Llama-2-7b-hf,6.10975395547471,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,-4
meta-llama/Llama-2-7b-hf,6.111784320415423,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,-3
meta-llama/Llama-2-7b-hf,6.119168360495036,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,-2
meta-llama/Llama-2-7b-hf,6.141756150153021,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,-1
meta-llama/Llama-2-7b-hf,6.220430399143109,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,0
meta-llama/Llama-2-7b-hf,19.891653116724665,vlp,VLPSoftmax,torch,min,6,8,16,32,16,1,-1,1,-6,2,2,1
