model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,6.015211842260706,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,0
meta-llama/Llama-2-7b-hf,5.993522554106181,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,2
meta-llama/Llama-2-7b-hf,5.985731106738535,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,3
meta-llama/Llama-2-7b-hf,5.985732105715273,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,4
meta-llama/Llama-2-7b-hf,5.98572639727902,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,5
meta-llama/Llama-2-7b-hf,5.98572639727902,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,6
meta-llama/Llama-2-7b-hf,5.98572639727902,vlp,VLPSoftmax,torch,max,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,7
meta-llama/Llama-2-7b-hf,5.987080662245268,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-7
meta-llama/Llama-2-7b-hf,5.986080830138926,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-6
meta-llama/Llama-2-7b-hf,5.985664032967588,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5
meta-llama/Llama-2-7b-hf,5.985799465674179,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-4
meta-llama/Llama-2-7b-hf,5.985743879382236,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-3
meta-llama/Llama-2-7b-hf,5.985902076898937,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-2
meta-llama/Llama-2-7b-hf,5.986739159055291,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-1
meta-llama/Llama-2-7b-hf,5.989974764684896,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,0
meta-llama/Llama-2-7b-hf,18.227042996088606,vlp,VLPSoftmax,torch,min,17,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,1
