model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-1
meta-llama/Llama-2-7b-hf,6.13214945907835,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,0
meta-llama/Llama-2-7b-hf,6.012715095616198,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,1
meta-llama/Llama-2-7b-hf,5.986382546318445,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,2
meta-llama/Llama-2-7b-hf,5.988813886002391,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,3
meta-llama/Llama-2-7b-hf,5.989038918522896,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,4
meta-llama/Llama-2-7b-hf,5.989034349250561,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,5
meta-llama/Llama-2-7b-hf,5.989034349250561,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,6
meta-llama/Llama-2-7b-hf,5.989034349250561,vlp,VLPSoftmax,torch,max,8,8,16,32,16,1,-1,1,-6,2,2,1,1,7
meta-llama/Llama-2-7b-hf,5.990455061123621,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-7
meta-llama/Llama-2-7b-hf,5.9895095008447266,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-6
meta-llama/Llama-2-7b-hf,5.9888427999232565,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-5
meta-llama/Llama-2-7b-hf,5.988982802388535,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-4
meta-llama/Llama-2-7b-hf,5.989262245957186,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-3
meta-llama/Llama-2-7b-hf,5.990417998519682,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-2
meta-llama/Llama-2-7b-hf,5.9937787019378375,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,-1
meta-llama/Llama-2-7b-hf,6.0019893717883015,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,0
meta-llama/Llama-2-7b-hf,7.325894665386597,vlp,VLPSoftmax,torch,min,8,8,16,32,16,1,-1,1,-6,2,2,1,1,1
