model,value,function_name,attn_fn,ffn_fn,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_lut_build,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp,attn_layer_30_max_min_exp,attn_layer_31_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,-1
meta-llama/Llama-2-7b-hf,6.013715863575755,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,0
meta-llama/Llama-2-7b-hf,5.992250479681923,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,1
meta-llama/Llama-2-7b-hf,5.98466079895625,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,2
meta-llama/Llama-2-7b-hf,5.985005536889641,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,3
meta-llama/Llama-2-7b-hf,5.985009603660093,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,4
meta-llama/Llama-2-7b-hf,5.98503107910778,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,5
meta-llama/Llama-2-7b-hf,5.985090939649444,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,6
meta-llama/Llama-2-7b-hf,5.98565960897933,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,7
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,31,8,8,32,max,16,1,6,1,3,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,4,3,3,5,2,3,4,4,4,-7
