model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.482792801117789,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,0
meta-llama/Llama-2-13b-hf,5.44913704537752,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,1
meta-llama/Llama-2-13b-hf,5.43798961740437,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2
meta-llama/Llama-2-13b-hf,5.438124716232866,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,3
meta-llama/Llama-2-13b-hf,5.4382363179164805,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,4
meta-llama/Llama-2-13b-hf,5.438237873808594,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,5
meta-llama/Llama-2-13b-hf,5.438237873808594,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,6
meta-llama/Llama-2-13b-hf,5.438237873808594,vlp,VLPSoftmax,torch,max,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,7
meta-llama/Llama-2-13b-hf,5.648608983606742,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,7
meta-llama/Llama-2-13b-hf,5.438171392232019,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,-6
meta-llama/Llama-2-13b-hf,5.4382257832420065,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,-5
meta-llama/Llama-2-13b-hf,5.438270320743481,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,-4
meta-llama/Llama-2-13b-hf,5.438219948661848,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,-3
meta-llama/Llama-2-13b-hf,5.4381606307855686,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,-2
meta-llama/Llama-2-13b-hf,5.438187113058034,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.4391777464021525,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,0
meta-llama/Llama-2-13b-hf,5.8821664938712015,vlp,VLPSoftmax,torch,min,15,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,1
