model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp
meta-llama/Llama-2-70b-hf,4.866588407519882,vlp,VLPSoftmax,torch,max,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,1
meta-llama/Llama-2-70b-hf,4.84831580214993,vlp,VLPSoftmax,torch,max,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,2
meta-llama/Llama-2-70b-hf,4.850151449134368,vlp,VLPSoftmax,torch,max,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,3
meta-llama/Llama-2-70b-hf,4.849479112147563,vlp,VLPSoftmax,torch,max,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,4
meta-llama/Llama-2-70b-hf,4.849466804351171,vlp,VLPSoftmax,torch,max,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,5
meta-llama/Llama-2-70b-hf,4.849534095831758,vlp,VLPSoftmax,torch,min,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,-5
meta-llama/Llama-2-70b-hf,4.8494228659462895,vlp,VLPSoftmax,torch,min,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,-4
meta-llama/Llama-2-70b-hf,4.850013459025781,vlp,VLPSoftmax,torch,min,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,-3
meta-llama/Llama-2-70b-hf,4.8486300861941,vlp,VLPSoftmax,torch,min,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,-2
meta-llama/Llama-2-70b-hf,4.848806674723717,vlp,VLPSoftmax,torch,min,14.0,8.0,16.0,32.0,16.0,-4.0,2.0,2.0,2.0,-4.0,3.0,2.0,3.0,2.0,-2.0,4.0,2.0,1.0,2.0,-1
,4.84831580214993,,,,,,,,,,,,,,,,,,,,,,,,2
