model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-1
meta-llama/Llama-2-7b-hf,5.999369236504115,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,0
meta-llama/Llama-2-7b-hf,5.9876233248321435,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,1
meta-llama/Llama-2-7b-hf,5.984727005363096,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,2
meta-llama/Llama-2-7b-hf,5.984749692640829,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,3
meta-llama/Llama-2-7b-hf,5.984753402518327,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,4
meta-llama/Llama-2-7b-hf,5.984754401331892,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,5
meta-llama/Llama-2-7b-hf,5.984754401331892,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,6
meta-llama/Llama-2-7b-hf,5.984754401331892,vlp,VLPSoftmax,torch,max,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,7
meta-llama/Llama-2-7b-hf,5.98503985481124,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-7
meta-llama/Llama-2-7b-hf,5.984803200711954,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-6
meta-llama/Llama-2-7b-hf,5.984712023245706,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5
meta-llama/Llama-2-7b-hf,5.98471851549197,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-4
meta-llama/Llama-2-7b-hf,5.984795281487266,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-3
meta-llama/Llama-2-7b-hf,5.984745554703259,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-2
meta-llama/Llama-2-7b-hf,5.984963585103101,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-1
meta-llama/Llama-2-7b-hf,5.986114726065933,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,0
meta-llama/Llama-2-7b-hf,6.682789970504215,vlp,VLPSoftmax,torch,min,28,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,1
