model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.452467557289197,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,0
meta-llama/Llama-2-13b-hf,5.4435392419389785,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,1
meta-llama/Llama-2-13b-hf,5.437006848520253,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,2
meta-llama/Llama-2-13b-hf,5.435914742192423,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,3
meta-llama/Llama-2-13b-hf,5.435895366682073,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,4
meta-llama/Llama-2-13b-hf,5.435895366682073,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,5
meta-llama/Llama-2-13b-hf,5.435895366682073,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,6
meta-llama/Llama-2-13b-hf,5.435895366682073,vlp,VLPSoftmax,torch,max,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,7
meta-llama/Llama-2-13b-hf,5.47779256017087,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,7
meta-llama/Llama-2-13b-hf,5.435947628877278,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-6
meta-llama/Llama-2-13b-hf,5.435893066249811,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-5
meta-llama/Llama-2-13b-hf,5.435931784922495,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-4
meta-llama/Llama-2-13b-hf,5.435906058844797,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-3
meta-llama/Llama-2-13b-hf,5.435923231150153,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-2
meta-llama/Llama-2-13b-hf,5.435981811799999,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,-1
meta-llama/Llama-2-13b-hf,5.436579124214921,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,0
meta-llama/Llama-2-13b-hf,915.0500494450541,vlp,VLPSoftmax,torch,min,24,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2,-4,2,2,2,2,2,-5,-2,2,-5,2,2,2,1
