model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,-1
meta-llama/Llama-2-13b-hf,5.814184428272554,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,0
meta-llama/Llama-2-13b-hf,5.633764694504975,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,1
meta-llama/Llama-2-13b-hf,5.486910456871456,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,2
meta-llama/Llama-2-13b-hf,5.499035140285669,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,3
meta-llama/Llama-2-13b-hf,5.498890268722041,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,4
meta-llama/Llama-2-13b-hf,5.498890268722041,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,5
meta-llama/Llama-2-13b-hf,5.498890268722041,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,6
meta-llama/Llama-2-13b-hf,5.498890268722041,vlp,VLPSoftmax,torch,max,5,8,16,32,16,1,-1,0,1,1,7
meta-llama/Llama-2-13b-hf,6.06205329298615,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,7
meta-llama/Llama-2-13b-hf,5.499030715418962,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,-6
meta-llama/Llama-2-13b-hf,5.498999446462377,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,-5
meta-llama/Llama-2-13b-hf,5.498883123571738,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,-4
meta-llama/Llama-2-13b-hf,5.498997676526755,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,-3
meta-llama/Llama-2-13b-hf,5.498913638016999,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,-2
meta-llama/Llama-2-13b-hf,5.499396286966448,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,-1
meta-llama/Llama-2-13b-hf,5.501309697978515,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,0
meta-llama/Llama-2-13b-hf,17.10903700360957,vlp,VLPSoftmax,torch,min,5,8,16,32,16,1,-1,0,1,1,1
