model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp,attn_layer_11_max_min_exp,attn_layer_12_max_min_exp,attn_layer_13_max_min_exp,attn_layer_14_max_min_exp,attn_layer_15_max_min_exp,attn_layer_16_max_min_exp,attn_layer_17_max_min_exp,attn_layer_18_max_min_exp,attn_layer_19_max_min_exp,attn_layer_20_max_min_exp,attn_layer_21_max_min_exp,attn_layer_22_max_min_exp,attn_layer_23_max_min_exp,attn_layer_24_max_min_exp,attn_layer_25_max_min_exp,attn_layer_26_max_min_exp,attn_layer_27_max_min_exp,attn_layer_28_max_min_exp,attn_layer_29_max_min_exp
meta-llama/Llama-2-7b-hf,,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-1
meta-llama/Llama-2-7b-hf,6.001166468284787,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,0
meta-llama/Llama-2-7b-hf,5.988635051149306,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,1
meta-llama/Llama-2-7b-hf,5.984712023245706,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,2
meta-llama/Llama-2-7b-hf,5.984472671170579,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,3
meta-llama/Llama-2-7b-hf,5.984507842127387,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,4
meta-llama/Llama-2-7b-hf,5.984512907332921,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,5
meta-llama/Llama-2-7b-hf,5.984512907332921,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,6
meta-llama/Llama-2-7b-hf,5.984512907332921,vlp,VLPSoftmax,torch,max,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,7
meta-llama/Llama-2-7b-hf,5.984718444148566,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-7
meta-llama/Llama-2-7b-hf,5.9844635395969314,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-6
meta-llama/Llama-2-7b-hf,5.984507770786495,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-5
meta-llama/Llama-2-7b-hf,5.98452881638663,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-4
meta-llama/Llama-2-7b-hf,5.984535094410495,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-3
meta-llama/Llama-2-7b-hf,5.984546937064349,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-2
meta-llama/Llama-2-7b-hf,5.984690977001293,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,-1
meta-llama/Llama-2-7b-hf,5.985758293236352,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,0
meta-llama/Llama-2-7b-hf,6.460453353451922,vlp,VLPSoftmax,torch,min,29,8,16,32,16,1,-1,1,-6,2,2,1,1,2,2,2,2,2,2,2,2,2,-5,3,-4,-4,2,6,-4,-4,-4,2,3,-5,1
