model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp,attn_layer_8_max_min_exp,attn_layer_9_max_min_exp,attn_layer_10_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,-1
meta-llama/Llama-2-13b-hf,5.4795436083633335,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,0
meta-llama/Llama-2-13b-hf,5.446007580959204,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,1
meta-llama/Llama-2-13b-hf,5.4380347364095165,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,2
meta-llama/Llama-2-13b-hf,5.441687148781503,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,3
meta-llama/Llama-2-13b-hf,5.4416769317714655,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,4
meta-llama/Llama-2-13b-hf,5.44164556729223,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,5
meta-llama/Llama-2-13b-hf,5.44164556729223,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,6
meta-llama/Llama-2-13b-hf,5.44164556729223,vlp,VLPSoftmax,torch,max,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,7
meta-llama/Llama-2-13b-hf,5.561554613976721,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,7
meta-llama/Llama-2-13b-hf,5.4416763479429,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,-6
meta-llama/Llama-2-13b-hf,5.441619457393113,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,-5
meta-llama/Llama-2-13b-hf,5.441753251678239,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,-4
meta-llama/Llama-2-13b-hf,5.441677353425467,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,-3
meta-llama/Llama-2-13b-hf,5.441876085837076,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,-2
meta-llama/Llama-2-13b-hf,5.442151961937516,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,-1
meta-llama/Llama-2-13b-hf,5.444236648966769,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,0
meta-llama/Llama-2-13b-hf,6.99042844043599,vlp,VLPSoftmax,torch,min,10,8,16,32,16,1,-1,0,1,1,2,-3,3,1,2,1
