model,value,function_name,attn_fn,ffn_fn,lut_build,config_layer,attn_exp_dim,attn_window_dim,attn_window_size,attn_mant_dim,attn_layer_0_max_min_exp,attn_layer_1_max_min_exp,attn_layer_2_max_min_exp,attn_layer_3_max_min_exp,attn_layer_4_max_min_exp,attn_layer_5_max_min_exp,attn_layer_6_max_min_exp,attn_layer_7_max_min_exp
meta-llama/Llama-2-13b-hf,,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,-1
meta-llama/Llama-2-13b-hf,5.698619214723248,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,0
meta-llama/Llama-2-13b-hf,5.554645955674513,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,1
meta-llama/Llama-2-13b-hf,5.485876142637415,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,2
meta-llama/Llama-2-13b-hf,5.48103003167824,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,3
meta-llama/Llama-2-13b-hf,5.4810601530259975,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,4
meta-llama/Llama-2-13b-hf,5.4810601530259975,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,5
meta-llama/Llama-2-13b-hf,5.4810601530259975,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,6
meta-llama/Llama-2-13b-hf,5.4810601530259975,vlp,VLPSoftmax,torch,max,7,8,16,32,16,1,-1,0,1,1,2,-3,7
meta-llama/Llama-2-13b-hf,5.979623555949078,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,7
meta-llama/Llama-2-13b-hf,5.481033429305714,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,-6
meta-llama/Llama-2-13b-hf,5.481136175862137,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,-5
meta-llama/Llama-2-13b-hf,5.48110288511353,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,-4
meta-llama/Llama-2-13b-hf,5.48112983786301,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,-3
meta-llama/Llama-2-13b-hf,5.481277769980131,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,-2
meta-llama/Llama-2-13b-hf,5.481496212380934,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,-1
meta-llama/Llama-2-13b-hf,5.485585984976876,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,0
meta-llama/Llama-2-13b-hf,11.0098430116262,vlp,VLPSoftmax,torch,min,7,8,16,32,16,1,-1,0,1,1,2,-3,1
